date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:52:36	8224/8224	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Apr%202020%2000:09:03%20GMT	http://my-iddah.com/	C:/My%20Web%20Sites/my-iddah/my-iddah.com/index.html	(from )
01:52:41	24519/24519	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Apr%202020%2000:09:03%20GMT	http://my-iddah.com/robots.txt		(from )
01:53:02	1891/1891	---M-Z	200	added ('OK')	text/css	etag:%22763-554aaf1355950-gzip%22	http://my-iddah.com/wp-content/themes/my-iddah-new-version/styles/normalize.css	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-content/themes/my-iddah-new-version/styles/normalize.css	(from http://my-iddah.com/)
01:53:32	141622/141622	---M-Z	200	added ('OK')	text/css	etag:%2222936-554aaf1355950-gzip%22	http://my-iddah.com/wp-content/themes/my-iddah-new-version/styles/bootstrap.css	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-content/themes/my-iddah-new-version/styles/bootstrap.css	(from http://my-iddah.com/)
01:53:44	22608/22608	---M-Z	200	added ('OK')	text/css	etag:%225850-554aaf1355950-gzip%22	http://my-iddah.com/wp-content/themes/my-iddah-new-version/styles/bootstrap-theme.css	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-content/themes/my-iddah-new-version/styles/bootstrap-theme.css	(from http://my-iddah.com/)
01:53:59	28653/28653	---M-Z	200	added ('OK')	text/css	etag:%226fed-554aaf1355950-gzip%22	http://my-iddah.com/wp-content/themes/my-iddah-new-version/styles/layout.css	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-content/themes/my-iddah-new-version/styles/layout.css	(from http://my-iddah.com/)
01:54:01	806/806	---M-Z	200	added ('OK')	text/xml	date:Thu,%2030%20Apr%202020%2000:10:30%20GMT	http://my-iddah.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/my-iddah/my-iddah.com/xmlrpc0db0.php	(from http://my-iddah.com/)
01:54:01	679/679	---M-Z	200	added ('OK')	application/rss+xml	etag:%2299b889a9cd748e8b4eca0eb3758d138d-gzip%22	http://my-iddah.com/comments/feed/	C:/My%20Web%20Sites/my-iddah/my-iddah.com/comments/feed/index.html	(from http://my-iddah.com/)
01:54:02	56819/56819	---M-Z	200	added ('OK')	application/rss+xml	etag:%2296b8c36300fa91de37380e450e0524d1-gzip%22	http://my-iddah.com/feed/	C:/My%20Web%20Sites/my-iddah/my-iddah.com/feed/index.html	(from http://my-iddah.com/)
01:54:02	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-554aaf1371e70-gzip%22	http://my-iddah.com/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-includes/wlwmanifest.xml	(from http://my-iddah.com/)
01:54:06	977/977	---M--	200	added ('OK')	application/json	date:Thu,%2030%20Apr%202020%2000:10:35%20GMT	http://my-iddah.com/wp-json/	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-json/index.html	(from http://my-iddah.com/)
01:54:06	13713/13713	---M--	200	added ('OK')	image/png	etag:%223591-554aaf133f1f0%22	http://my-iddah.com/wp-content/themes/my-iddah-new-version/images/logos/my_iddah_all_logo_2x.png	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-content/themes/my-iddah-new-version/images/logos/my_iddah_all_logo_2x.png	(from http://my-iddah.com/)
01:54:08	3974/3974	---M--	200	added ('OK')	image/png	etag:%22f86-554aaf133f1f0%22	http://my-iddah.com/wp-content/themes/my-iddah-new-version/images/icons/search_icon_2x.png	C:/My%20Web%20Sites/my-iddah/my-iddah.com/wp-content/themes/my-iddah-new-version/images/icons/search_icon_2x.png	(from http://my-iddah.com/)
